Pownal, VT: 42.7909635 -73.2139817154
Muskegon, MI: 43.2341813 -86.2483921
Denver, CO: 39.7391536 -104.9847034
Bradford, England: 53.7941567 -1.7494778
Charleston, SC: 32.7876012 -79.9402728
Mears, MI: 43.6819514 -86.4197997
Bogota, Colombia: 4.5980478 -74.0760867
New York, NY: 40.7305991 -73.9865812
St. Goarshausen, Germany: 50.1555432 7.7150187
Fargo, ND: 46.8772292 -96.789821
Orlando, FL: 28.5421175 -81.3790462
Sydney, Australia: -33.8548157 151.2164539
Des Moines, IA: 41.5910641 -93.6037149
Fort Wayne, IN: 41.0799898 -85.1386015
Nuremberg, Germany: 49.4538723 11.0772978
Bilbao, Spain: 43.262968 -2.9349468
El Paso, TX: 31.8111305 -106.501349296
Lakeland, FL: 28.0394654 -81.9498042
Cologne, West Germany: 50.9383611 6.9599738
Amarillo, TX: 35.2072185 -101.8338246
Dominguez Hills, CA: 33.86273425 -118.254398016
Rochester, NY: 43.1854754 -77.6106860508
Bethlehem, PA: -1.45056 -48.4682453
Halifax, Canada: 44.6484246 -63.5749724
Morganville, NJ: 40.3410515 -74.2970513959
Ames, IA: 42.0346917 -93.6201507
Lyon, France: 45.7575286 4.8324803
Rome, Italy: 41.8933439 12.4830718
Jakarta, Indonesia: -6.1753941 106.8271826
Chattanooga, TN: 35.0456297 -85.3096801
Werchter, Belgium: 50.970489 4.70280468895
Zagreb, Croatia: 45.8131545 15.9770298
Hanover, West Germany: 52.3744779 9.7385532
Wurzburg, West Germany: 49.79245 9.9329662
Amsterdam, Netherlands: 52.374436 4.89799560337
Imola, Italy: 44.3535101 11.7141225
Russellville, AR: 35.2784173 -93.1337856
Roland, OK: 35.4212021 -94.5146616
Aberdeen, WA: 46.9753708 -123.8157218
Hultsfred, Sweden: 57.3986528 15.7710387864
Fayetteville, NC: 35.0529931 -78.8787058
Bordeaux, France: 44.841225 -0.5800364
Johnstown, PA: 40.3267407 -78.9219698
Syracuse, NY: 43.0481221 -76.1474244
Bismarck, ND: 46.8083268 -100.7837392
San Jose, Costa Rica: 9.9325427 -84.0795781
Palo Alto, CA: 37.442156 -122.1634472
Brisbane, Australia: -27.4689682 153.0234991
George, WA: 47.080055 -119.8572803
Washington, D.C.: 36.29884975 -82.3591966141
Omaha, NE: 41.2587317 -95.9378732
Savannah, GA: 32.0835407 -81.0998342
South River, NJ: 40.446495 -74.3859831
Abilene, TX: 32.4464534 -99.7333478
Manchester, England: 53.4791466 -2.2447445
Saint Petersburg, Russia: 59.9393657 30.3153628
Christchurch, New Zealand: -43.530955 172.6366455
Champaign, IL: 40.1164205 -88.2433829
Leeds, England: 53.7974185 -1.5437941
Cologne, Germany: 50.9383611 6.9599738
Stuttgart, West Germany: 48.7784485 9.1800132
Saarbrucken, West Germany: 49.2343618 6.9963794
Pori, Finland: 61.4867236 21.7910016
Chorzow, Poland: 50.2978791 18.9544466
Victoriaville, Canada: 46.055102 -71.9570622
San Rafael, CA: 37.9735346 -122.5310874
Bern, Switzerland: 46.9482713 7.4514512
Camden, NJ: 39.8014709 -74.968553
Erie, PA: 42.129461 -80.085239
Dortmund, West Germany: 51.5142273 7.4652789
Evansville, IN: 37.9747645 -87.5558483
Tel Aviv, Israel: 32.0804808 34.7805274
Budapest, Hungary: 47.4983815 19.0404707
Saginaw, MI: 43.4200387 -83.9490365
Green Bay, WI: 44.5299412 -88.0248317
Pasadena, MD: 39.1106375 -76.5506966543
Bologna, Italy: 44.4936714 11.3430347
McAllen, TX: 26.2043691 -98.230082
Reykjavik, Iceland: 64.145981 -21.9422367
San Sebastian, Spain: 43.3224219 -1.9838889
Beaumont, TX: 30.0860459 -94.1018461
East Troy, WI: 42.7851871 -88.4054374
Mannheim, Germany: 49.4895914 8.4672361
Dayton, OH: 39.7589478 -84.1916069
Hershey, PA: 40.2854881 -76.6506001
Newport, Wales: 51.5882332 -2.9974966
Charlotte, NC: 35.2270869 -80.8431268
Strasbourg, France: 48.584614 7.7507127
Quito, Ecuador: -0.155388 -78.4862308
Irvine, CA: 33.6856969 -117.8259819
Ionia, MI: 42.9469688 -85.0713945
Santiago, Chile: -33.4377968 -70.6504451
Calgary, Canada: 51.0530588 -114.0625614
Baltimore, MD: 39.2908608 -76.6108073
Richmond, VA: 37.5385087 -77.4342799
Fresno, CA: 36.7295295 -119.708861161
Poughkeepsie, NY: 41.7065779 -73.9284101
Grafenhainichen, Germany: 51.7309112 12.4588675
Duluth, MN: 46.7729322 -92.1251218
Poperinge, Belgium: 50.85257975 2.71249955847
Kansas City, MO: 39.0844687 -94.5630298
Konstanz, Germany: 47.659216 9.1750718
Norfolk, VA: 36.9306505 -76.2573110672
Eindhoven, Netherlands: 51.44855695 5.45012257186
Turku, Finland: 60.4517531 22.2670522
Austin, TX: 30.2711286 -97.7436995
Tuktoyaktuk, Canada: 69.4440189 -133.0319049
Miami, FL: 25.7742658 -80.1936589
Sudbury, Canada: 46.4910993 -80.9907389
Huntington Beach, CA: 33.6781238 -118.0000112
Rio de Janeiro, Brazil: -22.9110137 -43.2093727
Edmonton, Canada: 53.5343609 -113.5065085
Leipzig, Germany: 51.3391827 12.3810549
Albuquerque, NM: 35.0841034 -106.6509851
Ljubljana, Slovenia: 46.049865 14.5068921
East Rutherford, NJ: 40.833989 -74.0970865
Weedsport, NY: 43.048677 -76.5627197
Greensboro, NC: 36.0726355 -79.7919754
Le Bourget, France: 48.9351403 2.4258354
Portland, ME: 43.6610277 -70.2548596
Rimouski, Canada: 48.4492822 -68.5292478
Vancouver, Canada: 49.2608944 -123.1139383
Ontario, CA: 50.0000002 -86.0000001
Milwaukee, WI: 43.0349931 -87.922497
Lima, Peru: -12.0 -76.833333
Montreal, Canada: 45.5115944 -73.6051013
Aberdeen, NJ: 40.4071138 -74.2216287
Burlington, IA: 40.8075391 -91.1129234
Leiden, Netherlands: 52.1518157 4.48110886662
Knoxville, TN: 35.9603948 -83.9210261
Tallahassee, FL: 30.4380832 -84.2809332
Moncton, Canada: 46.0915426 -64.7952367
Atlanta, GA: 33.7490987 -84.3901849
Monterrey, Mexico: 25.6764922 -100.3060829
Brunssum, Netherlands: 50.94382155 5.97482508472
Harrisburg, PA: 40.2663107 -76.8861122
Manila, Philippines: 14.5906216 120.9799696
Kiev, Ukraine: 50.4501071 30.5240501
Nagoya, Japan: 35.183333 136.9
Vienna, Austria: 48.2083537 16.3725042
Guatemala City, Guatemala: 14.6417889 -90.5132239
Ludwigshafen, West Germany: 49.01268895 8.40127592289
Ottawa, Canada: 45.4210328 -75.6900219
Yverdon-les-Bains, Switzerland: 46.7785711 6.6409158
Holstebro, Denmark: 56.3590324 8.6159188
Abu Dhabi, United Arab Emirates: 24.4747961 54.3705762
Stevenage, England: 51.9035099 -0.2013368
Panama City, Panama: 8.9707433 -79.5344539
Nice, France: 43.7009358 7.2683912
Castle Donington, England: 52.8411689 -1.3409476
Kawasaki, Japan: 35.523142 139.708024
Pamplona, Spain: 42.8185502 -1.6444165
New Haven, CT: 41.3082138 -72.9250518
Petaluma, CA: 38.2325829 -122.636465
Shanghai, China: 31.2253441 121.4888922
Bald Knob, AR: 35.0003724 -93.8382561
Oldenzaal, Netherlands: 52.30853685 6.91460374312
Las Cruces, NM: 32.3140354 -106.7798078
Boston, MA: 42.3604823 -71.0595678
Park City, UT: 40.6460635 -111.4979741
Melbourne, Australia: -37.8142176 144.9631608
Kansas City, KS: 39.1146799 -94.7495246
Gent, Belgium: 51.0538286 3.7250121
Durban, South Africa: -29.8618254 31.0099095
Jonschwil, Switzerland: 47.4231947 9.0865706
Sofia, Bulgaria: 42.6977211 23.3225964
Sacramento, CA: 38.5815719 -121.4943995
Brooklyn, NY: 40.6501038 -73.9495823
Nuremberg, West Germany: 49.4538723 11.0772978
Hanover, Germany: 52.3744779 9.7385532
Concord, CA: 37.9779777 -122.0310733
Sao Paulo, Brazil: -23.5476397 -46.637365
Mexico City, Mexico: 19.4325301 -99.1332102
Birmingham, AL: 33.5206824 -86.8024326
Little Rock, AR: 34.7464809 -92.2895947
Amherst, MA: 42.3803676 -72.523143
Colorado Springs, CO: 38.8339578 -104.8253485
Seattle, WA: 47.6038321 -122.3300624
Mainz, West Germany: 49.9999952 8.2710237
Buenos Aires, Argentina: -34.612869 -58.4459789
Odessa, TX: 31.8457149 -102.367687
Auckland, New Zealand: -36.8534665 174.7655514
West Hollywood, CA: 34.0900091 -118.3617443
Dana Point, CA: 33.4669721 -117.6981075
Eau Claire, WI: 44.811349 -91.4984941
Costa Mesa, CA: 33.6633386 -117.903317
Zaragoza, Spain: 41.6521342 -0.8809428
North Hollywood, CA: 34.1729044 -118.3740371
Long Beach, CA: 33.7774658 -118.1884871
Zwolle, Netherlands: 52.51456525 6.09772035968
Providence, RI: 41.8239891 -71.4128343
Reseda, CA: 34.2011156 -118.5364742
Peoria, IL: 40.6938609 -89.5891008
Passaic, NJ: 40.8567663 -74.1284764
Long Island, NY: 40.8517821 -73.099185269
Rome, NY: 43.2128473 -75.4557304
Moscow, Russia: 55.7516335 37.6187042
Toronto, Canada: 43.6529206 -79.3849008
Pullman, WA: 46.7304268 -117.173895
Columbus, OH: 39.9622601 -83.0007065
Warsaw, Poland: 52.2319237 21.0067265
Lexington, KY: 38.0464066 -84.4970393
Seoul, South Korea: 37.5666791 126.9782914
Cleveland, OH: 41.5051613 -81.6934446
Holmdel, NJ: 40.3451095 -74.1840322
Oldenburg, Germany: 53.1389753 8.2146017
Madison, WI: 43.074761 -89.3837613
Dublin, Ireland: 53.3497645 -6.2602732
Lubbock, TX: 33.5778631 -101.8551665
Dover, NJ: 40.883988 -74.5621025
Cape Girardeau, MO: 37.3058839 -89.5181476
Bucharest, Romania: 44.436139 26.1027436
Toulouse, France: 43.6044622 1.4442469
Bangkok, Thailand: 13.5859219 100.416086602
Mechanicsburg, PA: 40.2101972 -77.0047276
Helsinki, Finland: 60.1666277 24.9435079
Las Vegas, NV: 36.1662859 -115.149225
Lafayette, LA: 30.2240897 -92.0198427
Ludwigshafen, Germany: 49.4792355 8.4391173
Rockford, IL: 42.2713945 -89.093966
Nurburg, Germany: 50.3408396 6.9520168
Scranton, PA: 41.4086874 -75.6621294
Brandon, Canada: 49.8493165 -99.9573544
Oberhausen, Germany: 51.51399325 6.84932276128
Fullerton, CA: 33.8708215 -117.9294165
Uniondale, NY: 40.7003793 -73.5929056
Nivala, Finland: 63.9289531 24.9612586
Somerset, WI: 45.1244108 -92.6735365
Johnson City, TN: 36.3134398 -82.3534728
Pilton, England: 51.1657413 -2.5864648
Plovdiv, Bulgaria: 42.1419118 24.7498385
Belfort, France: 47.6379599 6.8628942
Santa Monica, CA: 34.0195598 -118.4869739
Hamburg, West Germany: 53.5437641 10.0099133
Birmingham, England: 52.4813679 -1.8980726
Istanbul, Turkey: 41.0096334 28.9651646
Turin, Italy: 45.0709201 7.685972
Hamburg, Germany: 53.5437641 10.0099133
Cedar Rapids, IA: 41.9758872 -91.6704053
Sayreville, NJ: 40.4674 -74.3194
